rank,name,position,pos_rank,adp
1,Jeremiyah Love,RB,1,1.1
2,Carnell Tate,WR,1,2.6
3,Fernando Mendoza,QB,1,3.1
4,Jordyn Tyson,WR,2,4.2
5,Jadarian Price,RB,2,5.2
6,Makai Lemon,WR,3,5.5
7,KC Concepcion,WR,4,7.6
8,Kenyon Sadiq,TE,1,7.9
9,Omar Cooper,WR,5,10.2
10,Ty Simpson,QB,2,10.7
11,Eli Stowers,TE,2,11.2
12,Denzel Boston,WR,6,12.4
13,Jonah Coleman,RB,3,13.1
14,Nicholas Singleton,RB,4,14.5
15,Chris Bell,WR,7,15.8
16,Germie Bernard,WR,8,17.2
17,Antonio Williams,WR,9,17.6
18,Elijah Sarratt,WR,10,20.6
19,Emmett Johnson,RB,5,20.9
20,Zachariah Branch,WR,11,21.2
21,Carson Beck,QB,3,22.9
22,Malachi Fields,WR,12,23.1
23,Ted Hurst,WR,13,23.8
24,De'Zhaun Stribling,WR,14,24.0
25,Kaytron Allen,RB,6,24.1
26,Chris Brazzell,WR,15,24.2
27,Mike Washington,RB,7,25.7
28,Max Klare,TE,3,28.3
29,Ja'Kobi Lane,WR,16,28.8
30,Skyler Bell,WR,17,29.3
31,Drew Allar,QB,4,30.3
32,Demond Claiborne,RB,8,32.5
33,Cade Klubnik,QB,5,33.0
34,Kaelon Black,RB,9,34.1
35,Oscar Delp,TE,4,34.4
36,Eli Raridon,TE,5,35.9
37,Adam Randall,RB,10,35.9
38,Garrett Nussmeier,QB,6,36.2
39,Brenen Thompson,WR,18,38.0
40,Kevin Coleman,WR,19,39.3
41,Justin Joly,TE,6,39.6
42,Bryce Lance,WR,20,40.6
43,J'Mari Taylor,RB,11,41.3
44,Eli Heidenreich,RB,12,42.1
45,Michael Trigg,TE,7,42.7
46,Taylen Green,QB,7,43.0
47,Caleb Douglas,WR,21,43.1
48,Le'Veon Moss,RB,13,43.1
49,Jack Endries,TE,8,43.6
50,Nate Boerkircher,TE,9,44.5
51,Jam Miller,RB,14,44.8
52,Zavion Thomas,WR,22,44.9
53,CJ Daniels,WR,23,45.1
54,Matthew Hibner,TE,10,45.2
55,Will Kacmarek,TE,11,46.1
56,Seth McGowan,RB,15,46.4
57,Cole Payton,QB,8,47.4
58,Jaren Kanak,TE,12,47.5
59,Aaron Anderson,WR,24,47.7
60,Cyrus Allen,WR,25,48.0
61,Marlin Klein,TE,13,48.1
62,Tanner Koziol,TE,14,48.3
63,Joe Fagnano,QB,9,48.4
64,Josh Cuevas,TE,15,49.8
65,Colbie Young,WR,26,50.0
66,Sam Roush,TE,16,50.1
67,John Michael Gyllenborg,TE,17,50.8
68,Josh Cameron,WR,27,51.9
69,Noah Thomas,WR,28,52.1
70,Malik Benson,WR,29,53.3
71,Jeff Caldwell,WR,30,53.8
72,CJ Donaldson,RB,16,56.9
