rank,name,position,pos_rank,tier
1,Jeremiyah Love,RB,1,1
2,Fernando Mendoza,QB,1,2
3,Jordyn Tyson,WR,1,2
4,Carnell Tate,WR,2,2
5,Makai Lemon,WR,3,2
6,KC Concepcion,WR,4,3
7,Kenyon Sadiq,TE,1,3
8,Omar Cooper,WR,5,4
9,Denzel Boston,WR,6,4
10,Eli Stowers,TE,2,4
11,Elijah Sarratt,WR,7,5
12,Ty Simpson,QB,2,5
13,Emmett Johnson,RB,2,5
14,Chris Brazzell,WR,8,5
15,Jadarian Price,RB,3,5
16,Mike Washington,RB,4,5
17,Germie Bernard,WR,9,5
18,Jonah Coleman,RB,5,5
19,Nick Singleton,RB,6,6
20,Ted Hurst,WR,10,6
21,Antonio Williams,WR,11,6
22,Chris Bell,WR,12,6
23,Zachariah Branch,WR,13,7
24,Malachi Fields,WR,14,7
25,Skyler Bell,WR,15,7
26,Ja'Kobi Lane,WR,16,7
27,Brenen Thompson,WR,17,7
28,Bryce Lance,WR,18,8
29,Max Klare,TE,3,8
30,Garrett Nussmeier,QB,3,8
31,Eric McAlister,WR,19,8
32,Kaytron Allen,RB,7,8
33,Seth McGowan,RB,8,8
34,Kevin Coleman,WR,20,8
35,Michael Trigg,TE,4,9
36,Sam Roush,TE,5,9
37,Drew Allar,QB,4,9
38,Eli Heidenreich,RB,9,9
39,Justin Joly,TE,6,9
40,Demond Claiborne,RB,10,9
41,Deion Burks,WR,21,10
42,Barion Brown,WR,22,10
43,Reggie Virgil,WR,23,10
44,Adam Randall,RB,11,10
45,Cole Payton,QB,5,10
46,Desmond Reid,RB,12,10
47,J'Mari Taylor,RB,13,11
48,Jam Miller,RB,14,11
